model,material,numSamples,activation,alpha,hidden_layer_sizes,learning_rate,max_iter,Accuracy,F1,Precision,Recall,AUC,mean_fit_time,std_fit_time,mean_score_time,std_score_time
NeuralNetwork,iron,240,identity,0.0001,"(100, 100, 100)",constant,500,0.9038334830787662,0.9038334830787662,0.9038334830787662,0.9038334830787662,0.9884478350162255,148.81720328330994,15.406183752246534,0.4035028457641602,0.030614686799292433
NeuralNetwork,iron,240,identity,0.0001,"(100, 100, 100)",constant,600,0.9052410901467505,0.9052410901467505,0.9052410901467505,0.9052410901467505,0.9898157947075037,134.20503606796265,56.10128707668712,0.41022567749023436,0.02202849764057911
NeuralNetwork,iron,240,identity,0.0001,"(100, 100, 100)",constant,700,0.9136867325546572,0.9136867325546572,0.9136867325546572,0.9136867325546572,0.9896384483027042,132.3628755569458,25.41036557160522,0.4214446544647217,0.03830856344177731
NeuralNetwork,iron,240,identity,0.0001,"(100, 100, 100)",constant,800,0.9029949086552861,0.9029949086552861,0.9029949086552861,0.9029949086552861,0.9901748903905723,136.63463454246522,37.27907717682503,0.4091333389282227,0.03543496588316328
NeuralNetwork,iron,240,identity,0.0001,"(100, 100, 100)",constant,900,0.890775681341719,0.890775681341719,0.890775681341719,0.890775681341719,0.9879707291819345,112.39860615730285,40.564227712284826,0.41841974258422854,0.013503430678422877
NeuralNetwork,iron,240,identity,0.0001,"(100, 100, 100)",constant,1000,0.89895178197065,0.89895178197065,0.89895178197065,0.89895178197065,0.9882909745405183,120.67806663513184,25.90773184297026,0.39050860404968263,0.008909085851111144
NeuralNetwork,iron,240,identity,0.0001,"(100, 100, 100)",invscaling,100,0.9073375262054506,0.9073375262054506,0.9073375262054506,0.9073375262054506,0.9884055373334913,119.66114454269409,21.551170817110965,0.424252986907959,0.04528402838442213
NeuralNetwork,iron,240,identity,0.0001,"(100, 100, 100)",invscaling,200,0.9168014375561546,0.9168014375561546,0.9168014375561546,0.9168014375561546,0.9893202136280413,102.23847699165344,6.747466800197512,0.3872393608093262,0.009992144689305803
NeuralNetwork,iron,240,identity,0.0001,"(100, 100, 100)",invscaling,300,0.9118897873614855,0.9118897873614855,0.9118897873614855,0.9118897873614855,0.9883692160099444,101.70811538696289,17.19296911300474,0.40990891456604006,0.01832352416704414
NeuralNetwork,iron,240,identity,0.0001,"(100, 100, 100)",invscaling,400,0.9049415992812218,0.9049415992812218,0.9049415992812218,0.9049415992812218,0.9886572695726539,116.03956027030945,22.90391869078749,0.42530026435852053,0.012161281267935335
NeuralNetwork,iron,240,identity,0.0001,"(100, 100, 100)",invscaling,500,0.8966756513926326,0.8966756513926326,0.8966756513926326,0.8966756513926326,0.9879850238605922,114.30301842689514,27.91507528268564,0.4094089508056641,0.02499222357090546
NeuralNetwork,iron,240,identity,0.0001,"(100, 100, 100)",invscaling,600,0.9047319556753519,0.9047319556753519,0.9047319556753519,0.9047319556753519,0.9889000877952574,131.2502833366394,47.16323585018371,0.38866772651672366,0.024734199096128718
NeuralNetwork,iron,240,identity,0.0001,"(100, 100, 100)",invscaling,700,0.9115303983228511,0.9115303983228511,0.9115303983228511,0.9115303983228511,0.9890195772644701,126.02917032241821,32.69170871591916,0.3894676685333252,0.020361862482740856
NeuralNetwork,iron,240,identity,0.0001,"(100, 100, 100)",invscaling,800,0.8905660377358491,0.8905660377358491,0.8905660377358491,0.8905660377358491,0.9879229415891355,120.590461063385,41.75277841431038,0.41397795677185056,0.027625569803653396
